"address_id"|"address"|"postal_code"|"phone"|"last_updated"|"city_id"
1|"3785 Smith Flats"|"28886"|"564.335.1592"|"2023-03-29 02:39:33.285228"|48
2|"43840 Erickson Junction Suite 630"|"95201"|"149-766-3494"|"2023-03-29 02:39:33.285394"|180
3|"486 Dunn Loaf"|"91500"|"496.873.9761x9287"|"2023-03-29 02:39:33.285534"|162
4|"220 Smith Roads"|"35896"|"076.732.3799"|"2023-03-29 02:39:33.285665"|106
5|"469 Matthew Rapids Suite 840"|"44907"|"020-424-5335x121"|"2023-03-29 02:39:33.285814"|17
6|"703 Christopher Valley"|"79564"|"001-567-490-5067x32698"|"2023-03-29 02:39:33.285934"|55
7|"3349 Hill Circles Apt. 314"|"38770"|"001-479-313-4048"|"2023-03-29 02:39:33.286080"|128
8|"7709 Margaret Avenue Apt. 224"|"95554"|"598.893.3594x6428"|"2023-03-29 02:39:33.286209"|80
9|"43321 Cox Falls"|"20424"|"001-105-108-8816x72816"|"2023-03-29 02:39:33.286355"|174
10|"315 Carr Common"|"01432"|"001-073-798-1638x1470"|"2023-03-29 02:39:33.286490"|131
11|"584 Adams Street Suite 733"|"40173"|"001-009-971-7594x641"|"2023-03-29 02:39:33.286634"|158
12|"286 Banks River"|"75175"|"274.257.9579x278"|"2023-03-29 02:39:33.286767"|17
13|"91835 Hannah Crescent"|"48709"|"9546313596"|"2023-03-29 02:39:33.286880"|19
14|"05173 Abigail Meadows Apt. 806"|"71161"|"+1-214-420-0977x4698"|"2023-03-29 02:39:33.287009"|157
15|"286 Sara Loaf Apt. 996"|"26988"|"(621)768-5208"|"2023-03-29 02:39:33.287128"|187
16|"3117 Wood Lights"|"22503"|"473-760-2914"|"2023-03-29 02:39:33.287262"|136
17|"312 Martinez Cape"|"08389"|"795.146.3337x6076"|"2023-03-29 02:39:33.287397"|15
18|"44667 Tammy Plains Apt. 749"|"70297"|"183.207.0837"|"2023-03-29 02:39:33.287519"|195
19|"62641 Torres Junctions"|"57076"|"547-803-4197x49772"|"2023-03-29 02:39:33.287658"|127
20|"95929 Edward Vista"|"70388"|"002-831-0782x77545"|"2023-03-29 02:39:33.287777"|31
21|"717 Morales Pines Apt. 944"|"51611"|"(472)803-4924"|"2023-03-29 02:39:33.287916"|193
22|"00273 Morris Cliffs"|"21790"|"+1-696-717-8777x903"|"2023-03-29 02:39:33.288050"|147
23|"77334 Ashley Mountains Apt. 268"|"50779"|"925.847.8664x6429"|"2023-03-29 02:39:33.288178"|37
24|"36532 Mejia Shore"|"91803"|"+1-880-504-3219x55312"|"2023-03-29 02:39:33.288317"|41
25|"98155 Lee Throughway Apt. 837"|"85632"|"525.847.7693x4275"|"2023-03-29 02:39:33.288464"|43
26|"44779 Stone Mills"|"87823"|"(726)600-5334x551"|"2023-03-29 02:39:33.288600"|158
27|"02411 Tina Prairie"|"24118"|"446-077-0069"|"2023-03-29 02:39:33.288711"|28
28|"777 Jack Extension Suite 958"|"80267"|"+1-650-364-5407x486"|"2023-03-29 02:39:33.288835"|41
29|"73281 Latasha Burg"|"44472"|"001-351-607-0175x5516"|"2023-03-29 02:39:33.288951"|194
30|"84691 Chavez Falls"|"77957"|"202.325.2928x0965"|"2023-03-29 02:39:33.289122"|170
31|"21903 Aimee Mountain"|"39974"|"+1-508-231-9222x53606"|"2023-03-29 02:39:33.289262"|95
32|"970 Parks Tunnel Suite 770"|"47256"|"001-653-388-5738x95989"|"2023-03-29 02:39:33.289409"|28
33|"1381 Jake Summit Suite 154"|"52467"|"7185628472"|"2023-03-29 02:39:33.289530"|124
34|"876 Ruiz Coves"|"00800"|"+1-541-947-6607"|"2023-03-29 02:39:33.289671"|165
35|"8220 Hailey Divide Apt. 282"|"08344"|"001-324-903-9435x18609"|"2023-03-29 02:39:33.289796"|105
36|"395 Nathaniel Knoll"|"53978"|"973-194-6669x5835"|"2023-03-29 02:39:33.289907"|68
37|"5079 Jason Route Apt. 159"|"81150"|"+1-214-673-2962x8699"|"2023-03-29 02:39:33.290030"|56
38|"642 Smith Field Apt. 269"|"25561"|"2293002486"|"2023-03-29 02:39:33.290165"|134
39|"415 Ball Ville"|"67841"|"4927070419"|"2023-03-29 02:39:33.290290"|132
40|"7949 Lori Club Apt. 999"|"28513"|"529-882-5916x438"|"2023-03-29 02:39:33.290466"|197
41|"36150 Glenn Village Apt. 515"|"88507"|"7481479620"|"2023-03-29 02:39:33.290619"|158
42|"5649 Dunn Loop Apt. 658"|"65937"|"001-483-005-0398"|"2023-03-29 02:39:33.290759"|191
43|"0272 Jason Isle"|"47757"|"(153)670-2665"|"2023-03-29 02:39:33.290868"|77
44|"0272 Pham Way Suite 897"|"49479"|"001-531-499-6037x9248"|"2023-03-29 02:39:33.291011"|182
45|"204 Amanda Creek"|"24418"|"(682)458-3664"|"2023-03-29 02:39:33.291118"|32
46|"692 Allison Plain Suite 301"|"72724"|"736.258.3975x304"|"2023-03-29 02:39:33.291238"|114
